SpO2,PULSE,HR
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,90
0,0,90
0,0,90
0,0,90
0,0,91
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,88
0,0,88
0,0,88
0,0,88
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,90
0,0,90
0,0,90
0,0,91
0,0,91
0,0,91
0,0,91
0,0,92
0,0,92
0,0,92
0,0,92
0,0,92
0,0,92
0,0,92
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,94
0,0,94
0,0,94
0,0,94
0,0,94
0,0,94
0,0,94
0,0,94
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,92
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,93
0,0,92
0,0,92
0,0,92
0,0,92
0,0,91
0,0,91
0,0,91
0,0,91
0,0,91
0,0,91
0,0,91
0,0,91
0,0,91
0,0,91
0,0,91
0,0,91
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,89
0,0,88
0,0,88
0,0,87
0,0,87
0,0,86
0,0,86
0,0,86
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,86
0,0,86
0,0,86
0,0,86
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,85
0,0,86
0,0,86
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,88
0,0,88
0,0,88
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,86
0,0,86
0,0,87
0,0,86
0,0,87
0,0,87
0,0,87
0,0,87
0,0,88
0,0,88
0,0,89
0,0,89
0,0,90
0,0,90
0,0,91
0,0,91
0,0,91
0,0,91
0,0,90
0,0,90
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,90
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,89
0,0,88
0,0,89
0,0,88
0,0,88
0,0,88
0,0,88
0,0,89
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,87
0,0,87
0,0,87
0,0,87
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,89
0,0,88
0,0,89
0,0,89
0,0,89
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,87
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,88
0,0,87
0,0,87
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,85
0,0,85
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,87
0,0,87
0,0,87
0,0,87
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,86
0,0,87
0,0,87
0,0,87
0,0,87
0,0,86
0,0,86
0,0,86
0,0,87
0,0,86
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,87
0,0,88
0,0,87
0,0,87
0,0,87
0,0,87
